scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.6,0.875,0.275,0.878,0.8636,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.6,0.725,0.125,0.7179,0.7702,2,4,2,0,38,2,0,0,0
ppo,pennylane,123,40,0.6,0.65,0.05,0.65,0.6212,2,6,5,0,34,4,0,1,1
dqn,pennylane,123,40,0.6,0.825,0.225,0.8293,0.8081,2,2,0,0,34,0,5,0,1
