scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.55,0.7056,0.1556,0.6395,0.7515,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.55,0.6667,0.1167,0.7059,0.7078,2,3,1,0,39,1,0,0,0
ppo,pennylane,123,40,0.55,0.7222,0.1722,0.734,0.713,2,6,6,0,34,4,0,0,2
dqn,pennylane,123,40,0.55,0.6278,0.0778,0.5109,0.6088,2,1,3,0,37,1,0,2,0
