scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,0,100,0.0463,0.6798,0.6335,0.6662,0.8399,2,6,4,0,82,4,14,0,0
greedy,simulate,0,100,0.0463,0.9075,0.8612,0.8894,0.9538,2,16,14,0,86,14,0,0,0
fixed_k2,simulate,0,100,0.0463,0.2537,0.2073,0.2486,0.6268,2,2,0,0,100,0,0,0,0
fixed_k4,simulate,0,100,0.0315,0.5189,0.4874,0.5086,0.7595,4,4,0,0,100,0,0,0,0
fixed_k6,simulate,0,100,0.0328,0.6798,0.647,0.6662,0.8399,6,6,0,0,100,0,0,0,0
fixed_k8,simulate,0,100,0.0557,0.7774,0.7217,0.7619,0.8887,8,8,0,0,100,0,0,0,0
fixed_k12,simulate,0,100,0.0691,0.8725,0.8034,0.8551,0.9363,12,12,0,0,100,0,0,0,0
fixed_k16,simulate,0,100,0.0415,0.9075,0.8661,0.8894,0.9538,16,16,0,0,100,0,0,0,0
ppo,simulate,0,100,0.0463,0.7347,0.6884,0.72,0.8674,2,7,17,0,82,5,0,0,13
dqn,simulate,0,100,0.0463,0.6798,0.6335,0.6662,0.8399,2,6,11,0,88,7,1,3,1
