epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6697675101889616,0.6497675101889616,0.06251982370659126,0.061269427232459435,0.5312599118532957,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[3],0.002484118494830807
1,0.6138421426393299,0.5938421426393299,0.14320856638388424,0.14034439505620655,0.5716042831919421,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.004515829457848265
2,0.5733738235006637,0.5533738235006637,0.20159598398403744,0.1975640643043567,0.6007979919920188,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.009442441347701946
3,0.5498235510956657,0.5298235510956657,0.23557415799211423,0.23086267483227194,0.6177870789960571,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.016340868880754908
4,0.5253967056949772,0.5053967056949772,0.2708170455995136,0.2654007046875233,0.6354085227997568,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.026916987058004778
5,0.4867131081891758,0.4667131081891758,0.3266294788786961,0.3200968893011222,0.663314739439348,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.051480134576185596
6,0.4676998814078037,0.4476998814078037,0.35406163409637326,0.3469804014144458,0.6770308170481867,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.08053532529615552
7,0.46077582510216997,0.44077582510216995,0.3640516157810274,0.35677058346540685,0.6820258078905137,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.10431028612229135
8,0.44712302905446655,0.42712302905446653,0.38374977773125596,0.3760747821766308,0.691874888865628,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.13305731701254658
9,0.417034388992988,0.397034388992988,0.4271614644452634,0.4186182351563581,0.7135807322226317,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.19213896428539604
10,0.40760326709577255,0.38760326709577253,0.4407686234370618,0.43195325096832055,0.7203843117185309,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.24343195449071015
11,0.40140703308523745,0.38140703308523743,0.4497085080288019,0.4407143378682259,0.724854254014401,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.28523207532195305
12,0.39140831062548254,0.3714083106254825,0.46413459727963857,0.4548519053340458,0.7320672986398193,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.32896496839263456
13,0.3860705321483974,0.3660705321483974,0.4718359080242427,0.46239918986375783,0.7359179540121213,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.3655117817842738
14,0.3812685646283708,0.36126856462837076,0.4787641543379444,0.46918887125118547,0.7393820771689722,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.39686485033936536
15,0.36505643380420844,0.3450564338042084,0.5021549072223224,0.4921118090778759,0.7510774536111612,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.44799799612386537
16,0.3548662342440816,0.3348662342440816,0.5168572583406701,0.5065201131738567,0.758428629170335,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.49883735336045826
17,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.5321619972309101
18,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5521567835531811
19,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5641536553465438
20,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5713517784225615
21,0.3547266512089392,0.3347266512089392,0.5170586478012709,0.5067174748452454,0.7585293239006354,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5731224340475136
22,0.37300211470946165,0.35300211470946163,0.49069093246362483,0.48087711381435233,0.7453454662318124,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5378710341686956
23,0.3698357123634647,0.34983571236346467,0.4952593963880181,0.48535420846025773,0.747629698194009,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5230511954786754
24,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5466903025018404
25,0.3614391178273605,0.34143911782736047,0.5073739462886158,0.4972264673628434,0.7536869731443079,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5450942403733279
26,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5599161294386319
27,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5688092628778143
28,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5741451429413237
29,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5773466709794293
30,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5792675878022926
31,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5804201378960107
32,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5811116679522415
33,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.58152658598598
34,0.3617498771781672,0.3417498771781672,0.5069255847956036,0.4967870730996915,0.7534627923978018,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5653788628309651
35,0.3607053036557155,0.3407053036557155,0.5084326884205519,0.49826403465214086,0.754216344210276,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5577633626213784
36,0.3565521918453071,0.3365521918453071,0.514424770097667,0.5041362746957136,0.7572123850488335,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5613926682135714
37,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5696951861427779
38,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5746766969003019
39,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5776656033548162
40,0.3585165175296183,0.33851651752961825,0.5115906542640049,0.5013588411787248,0.7557953271320024,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5694659012422217
41,0.3565310600791006,0.3365310600791006,0.5144552588672622,0.5041661536899169,0.7572276294336311,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5684556985578366
42,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5739330043493371
43,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5772193878242373
44,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5791912179091775
45,0.3567667516517226,0.3367667516517226,0.5141152046577369,0.5038329005645821,0.7570576023288684,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5738278092499965
46,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.577156270764633
47,0.35598282115960167,0.33598282115960165,0.5152462542784568,0.5049413291928877,0.7576231271392284,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.574145944201826
48,0.3574612857824159,0.3374612857824159,0.5131131355036562,0.5028508727935831,0.7565565677518281,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5694343943093149
49,0.3552894992615881,0.3352894992615881,0.5162465744314124,0.5059216429427842,0.7581232872157062,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5708712367536493
50,0.3712069343542842,0.3512069343542842,0.49328100655852813,0.48341538642735754,0.746640503279264,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5401089905454488
51,0.36544399063037464,0.3454439906303746,0.501595742850419,0.4915638279934106,0.7507978714252095,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5331711136238202
52,0.3795229985243288,0.3595229985243288,0.48128264532631837,0.471656992419792,0.7406413226631592,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5009140375005698
53,0.37636611096147543,0.3563661109614754,0.48583738138583843,0.47612063375812164,0.7429186906929193,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.48783337285514494
54,0.3695667881647519,0.3495667881647519,0.4956473984060714,0.48573445043795,0.7478236992030357,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.4935664419634941
55,0.3745444165077228,0.3545444165077228,0.48846570984313553,0.4786963956462728,0.7442328549215678,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.4870572836667703
56,0.359357758815245,0.339357758815245,0.5103769170173929,0.500169378677045,0.7551884585086964,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.5134388608375843
57,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5409229017171857
58,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5574133262449465
59,0.36617318684731454,0.3461731868473145,0.5005436634723496,0.4905327902029026,0.7502718317361747,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5420978881221833
60,0.36881685461266445,0.34881685461266443,0.49672939747126765,0.4867948095218423,0.7483646987356338,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5276249132404321
61,0.357403580282071,0.33740358028207096,0.5131963926099106,0.5029324647577124,0.7565981963049553,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5416353829090683
62,0.3655770407026623,0.34557704070266226,0.5014037791045127,0.49137570352242244,0.7507018895522564,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5338213845538398
63,0.3601233292253577,0.3401233292253577,0.5092723571990223,0.49908691005504185,0.7546361785995112,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5399821915420266
64,0.3701324720783844,0.3501324720783844,0.49483123347513436,0.48493460880563166,0.7474156167375672,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5237243709234293
65,0.35838236446213406,0.33838236446213404,0.5117842094039331,0.5015485252158545,0.7558921047019665,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5373659198622032
66,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.555279137131957
67,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5660270674938093
68,0.3618991237534028,0.34189912375340276,0.5067102528446072,0.4965760477877151,0.7533551264223036,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5557826448748935
69,0.3562341232286923,0.3362341232286923,0.5148836773500328,0.5045860038030322,0.7574418386750164,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5608287403287027
70,0.3591962027086611,0.3391962027086611,0.5106100090771013,0.5003978088955593,0.7553050045385507,0.034313951493007824,0.0013975424859373688,0.3099709701398437,4,28,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,[3],0.5580211600299957
