scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,0,100,0.0965,0.6308,0.5343,0.6182,0.8154,2,6,4,0,82,4,14,0,0
greedy,simulate,0,100,0.0965,0.4765,0.38,0.467,0.7383,2,4,3,0,97,2,0,0,1
fixed_k2,simulate,0,100,0.0965,0.2342,0.1376,0.2295,0.6171,2,2,0,0,100,0,0,0,0
fixed_k4,simulate,0,100,0.0625,0.5189,0.4564,0.5086,0.7595,4,4,0,0,100,0,0,0,0
fixed_k6,simulate,0,100,0.0289,0.6794,0.6505,0.6658,0.8397,6,6,0,0,100,0,0,0,0
fixed_k8,simulate,0,100,0.0224,0.6841,0.6617,0.6705,0.8421,8,8,0,0,100,0,0,0,0
fixed_k10,simulate,0,100,0.0,0.6765,0.6765,0.663,0.8382,10,10,0,0,100,0,0,0,0
fixed_k12,simulate,0,100,0.0169,0.423,0.4061,0.4145,0.7115,12,12,0,0,100,0,0,0,0
fixed_k14,simulate,0,100,0.0508,0.2863,0.2355,0.2806,0.6431,14,14,0,0,100,0,0,0,0
fixed_k16,simulate,0,100,0.0,0.1259,0.1259,0.1234,0.563,16,16,0,0,100,0,0,0,0
ppo,simulate,0,100,0.0965,0.4933,0.3968,0.4835,0.7467,2,4,2,0,98,2,0,0,0
dqn,simulate,0,100,0.0965,0.5755,0.479,0.564,0.7878,2,5,4,0,96,3,0,0,1
