scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.5301,0.7711,0.241,0.7654,0.8458,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.5301,0.7108,0.1807,0.7333,0.8281,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.5301,0.6867,0.1566,0.6905,0.7494,2,7,6,0,34,5,0,0,1
dqn,pennylane,123,40,0.5301,0.6145,0.0843,0.36,0.7483,2,3,5,0,34,1,0,1,4
