scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.5333,0.7667,0.2333,0.7812,0.8022,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.5333,0.4167,-0.1167,0.4262,0.39,2,7,5,0,34,5,0,1,0
ppo,pennylane,123,40,0.5333,0.7,0.1667,0.7568,0.6811,2,5,5,0,34,3,1,0,2
dqn,pennylane,123,40,0.5333,0.65,0.1167,0.6316,0.7211,2,8,6,0,34,6,0,0,0
