benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,loss_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad,batch_accuracy,mean_pred_probability,std_pred_probability
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,0,0,16,12,3,1.6016201276498832,1.6016201276498832,0.14431463080415832,0.185100329407622,-0.7325928083687315,1.5719810764958806,0.4537918488379472,1.5628817564785913,1.7097868260096405e-16,0.8333333333333334,-0.16889381317129643,0.5,0.14021225054708167,0.13020452522527529
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,1,1,16,12,3,2.1691417202189687,2.1691417202189687,0.2962830611397825,0.44271337727728804,-0.3538773549356902,2.523086275803459,0.7283522702618888,1.9285979828519302,2.1510571102112408e-16,0.8333333333333334,-1.6267987508254467,0.25,0.7375862633600715,0.3001578155176642
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,2,2,16,12,3,1.3052336121530352,1.3052336121530352,0.09601615121486899,0.09470479906918332,-1.0236280130088058,1.116730408093018,0.32237230086237234,1.1161485303694545,1.3010426069826053e-18,0.8333333333333334,-0.036045284208972114,0.5,0.1617604917403082,0.11915612398331747
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,3,3,16,12,3,1.7300040447166338,1.7300040447166338,0.16607850430095716,0.24931963900425477,-0.6032435106047368,1.7869026273284017,0.5158343564518512,1.773359688682367,9.011888457699513e-16,0.8333333333333334,-0.21958236292909156,0.5,0.14004409451579297,0.1295236884882182
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,4,4,16,12,3,1.6252049468355865,1.6252049468355865,0.1282305777990632,0.09282269707333089,-1.0323458167934418,1.1450717610141947,0.33055374473149207,1.0216605960779066,5.445213726722922e-18,0.8333333333333334,1.0216605960779066,0.25,0.6528964992843361,0.28654852281265686
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,5,0,16,24,6,0.9040059297811367,0.9040059297811367,0.05852725195178684,0.013003322925117163,-1.885945652028942,0.5630307798793933,0.11492817668214896,0.3182430979845119,1.734723475976807e-18,0.6666666666666666,0.12969685570319384,0.5,0.2914288236561071,0.10172274363023893
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,6,1,16,24,6,0.5554967727892008,0.5554967727892008,0.02210160345063118,0.002173824009298946,-2.662775618890098,0.2319467200756953,0.047345925974801396,0.15677113121413316,1.951563910473908e-18,0.6666666666666666,-0.07941596437996572,1.0,0.5268685287701704,0.08298980231772447
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,7,2,16,24,6,0.7096184300689687,0.7096184300689687,0.03503634940972113,0.007272599124249639,-2.1383103506829984,0.4202546982287988,0.08578413105565688,0.30828890349538274,1.5178830414797062e-18,0.6666666666666666,-0.0484189253626596,0.5,0.32905617079225785,0.09445129575471929
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,8,3,16,24,6,0.9802067574240572,0.9802067574240572,0.0682566973060279,0.023414479058625537,-1.6305155002556402,0.7848130757481678,0.1601992982539379,0.5253119380848176,2.168404344971009e-18,0.6666666666666666,0.16597317632591008,0.5,0.23523552531189715,0.09173767396871271
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,9,4,16,24,6,0.6224010340677875,0.6224010340677875,0.0582576573492763,0.014446182309930528,-1.8402469086715445,0.5919267512513239,0.12082654213909064,0.3331915860827022,4.336808689942018e-19,0.6666666666666666,-0.026456008595557603,0.625,0.35049211883597187,0.10081286992603511
