benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,7,2,0.02485147863511548,0.0036694271073338084,0.37506063626080394,0.1800686105513524,9.997209174869026e-20,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,7,3,0.005465713311193757,0.000983678706105071,0.1910180572924674,0.19092886046593183,1.0299920638612292e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,8,0,0.032806946905566695,0.007255892508455731,0.5144733048649124,0.38114588623909407,1.581930569887029e-18,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,8,1,0.02604733313277961,0.00449104776188495,0.40336381733917703,0.27458617089329745,7.753511029443657e-19,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,8,2,0.02618801077381151,0.006116423000411179,0.4704307582110937,0.3369779097341712,1.0842021724855044e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,8,3,0.016506472199205025,0.009018198905182385,0.5783284975403151,0.5781035299048238,1.5178830414797062e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,0,0.013353170625917806,0.0005006047898894828,0.13603155342600118,0.08838119749145022,7.589415207398531e-19,0.3333333333333333
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,1,0.017968787997794753,0.0009836053750130072,0.19054637473443697,0.0976432839909012,3.2526065174565133e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,2,0.010602317373008726,0.00039484338204219375,0.11922421346134539,0.08419136456546429,9.94280321848247e-21,0.5
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,8,8,88,88,11,9,3,0.008491593252223588,0.00025647189158548435,0.09620107213216522,0.043875178327641075,3.2526065174565133e-19,0.5833333333333334
