benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,10,1,0.11303630889696609,0.03229373635779427,0.6263828267903447,0.4555832193780771,2.0082436062674265e-18,0.25
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,10,2,0.1202670292510513,0.03305669791174385,0.6357185532443349,0.34545333799290645,0.0,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,10,3,0.0635847418626932,0.026959644701186145,0.5744557462238044,0.5209753069733062,5.095750210681871e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,11,0,0.05604612275158425,0.004335560807273799,0.27099412953067203,0.146525484487341,0.000529812496056583,0.0
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,11,1,0.11917055521954924,0.02776758202261245,0.6477994679022017,0.34588465982965827,1.9819765013658755e-18,0.25
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,11,2,0.07213218754968179,0.012210644830421466,0.38372062074549373,0.24002789909965347,6.001453765411525e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,11,3,0.050802023438280684,0.027533743425168556,0.601144797970594,0.6010841321987536,5.046969088520879e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,12,0,0.07662997094790637,0.013710636329055113,0.40658609535448215,0.32998959862618676,0.016706447937937838,0.0
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,12,1,0.09417704736283455,0.020386375776103603,0.4955975187046684,0.3216914932014264,4.133520782600986e-18,0.25
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,12,2,0.035002345436372505,0.0030821439198412642,0.19526910163970965,0.1360761818080483,4.7704895589362195e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,12,3,0.03052979760899741,0.004937596706439412,0.26539778254881685,0.22396510661145957,3.4708300981479854e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,13,0,0.07101905424269725,0.016485169495019502,0.4734319558587827,0.36687782308787675,0.005258348022575814,0.0
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,13,1,0.034984575444007765,0.0032661026803534974,0.19840644046198844,0.1351351917703554,6.071532165918825e-18,0.25
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,13,2,0.02879203147346938,0.0030714775662942784,0.20075628530231732,0.16947122702875456,2.3045366229022416e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,13,3,0.0014035246413233538,1.4809447810550868e-05,0.013597417256272833,0.013061099026964201,8.673617379884035e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,14,0,0.08494661685893622,0.009352190637482842,0.374437111411686,0.26599185065990183,0.01632563355083615,0.0
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,14,1,0.06404689304266896,0.010253783173015786,0.3562189255863248,0.2539188412126968,3.2526065174565133e-18,0.25
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,14,2,0.02868085402879811,0.0017110253555950785,0.17389387151813915,0.12127256627090291,6.7220534694101275e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,4,4,12,12,3,14,3,0.006267254100455431,0.00041959881942146257,0.07400414160470843,0.07399420232074924,4.336808689942018e-19,0.8333333333333334
