scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,0,100,0.0,0.0278,0.0278,0.0273,0.5139,2,6,4,1,82,5,13,0,0
greedy,simulate,0,100,0.0,0.0,0.0,0.0,0.5,2,2,0,0,82,0,18,0,0
fixed_k2,simulate,0,100,0.0,0.0162,0.0162,0.0159,0.5081,2,2,0,0,100,0,0,0,0
fixed_k4,simulate,0,100,0.0225,0.1406,0.1181,0.1378,0.5703,4,4,0,0,100,0,0,0,0
fixed_k6,simulate,0,100,0.0,0.1308,0.1308,0.1282,0.5654,6,6,0,0,100,0,0,0,0
fixed_k8,simulate,0,100,0.1116,0.0,-0.1116,0.0,0.5,8,8,0,0,100,0,0,0,0
fixed_k10,simulate,0,100,0.0,0.0081,0.0081,0.008,0.5041,10,10,0,0,100,0,0,0,0
fixed_k12,simulate,0,100,0.0358,0.0222,-0.0136,0.0218,0.5111,12,12,0,0,100,0,0,0,0
fixed_k14,simulate,0,100,0.0305,0.1751,0.1446,0.1716,0.5875,14,14,0,0,100,0,0,0,0
fixed_k16,simulate,0,100,0.0205,0.0229,0.0024,0.0224,0.5114,16,16,0,0,100,0,0,0,0
ppo,simulate,0,100,0.0,0.0156,0.0156,0.0153,0.5078,2,1,1,0,82,0,17,1,0
dqn,simulate,0,100,0.0,0.0,0.0,0.0,0.5,2,2,1,0,99,0,0,0,1
