episode,return,return_ma100
1,-3.95404502858718,-3.95404502858718
2,-3.896068889670731,-3.9250569591289555
3,-1.0233588722141467,-2.9578242634906857
4,-0.5602797824806789,-2.358438143238184
5,-0.37263645668031753,-1.961277805926611
6,-0.36945447616497806,-1.6959739176330053
7,-1.0121871755914635,-1.5982900973413565
8,-0.33818058853158445,-1.440776408740135
9,-3.37721585119201,-1.6559363467903434
10,-5.500530300671738,-2.040395742178483
11,-1.6517959011495287,-2.0050684839031234
12,-6.273186341724506,-2.360744972054905
13,-0.9892840934997563,-2.255247981396817
14,-1.955829842035283,-2.2338609714424216
15,-7.886132361578744,-2.6106790641181763
16,-9.571908181726007,-3.045755883968666
17,-1.4419958471488998,-2.9514170582733854
18,-0.2674626921742114,-2.802308482378987
19,-1.0046191078541802,-2.7076932521408392
20,-2.4157013239088143,-2.693093655729238
21,-7.715048482334403,-2.9322343617580553
22,-0.31008868141353035,-2.813045921742395
23,-1.93517579897931,-2.7748776555353047
24,-1.2683777405567978,-2.712106825744533
25,-1.2598946244369282,-2.654018337692229
26,-7.768087664367335,-2.850713311795118
27,-1.4636650510821776,-2.7993411539909347
28,-3.9892840934997555,-2.84183911611625
29,-0.3413625690469239,-2.755615786906963
30,-0.26367865830556964,-2.672551215953583
31,-1.276634429949057,-2.6275216422115015
32,-0.27663442994905707,-2.5540564168283
33,-0.25611059056828617,-2.4844216948204205
34,-0.24854252283100275,-2.418660542703085
35,-9.078437471580107,-2.608939883528143
36,-2.5842400810726347,-2.6082537779043786
37,-5.13518601552556,-2.6765492437860323
38,-1.408558195654721,-2.6431810583088926
39,-0.9892840934997563,-2.600773443826607
40,-9.903206327160014,-2.783334265909942
41,-4.925159813326437,-2.8355739134079054
42,-6.594710384519709,-2.925077162720091
43,-1.106827321839104,-2.882792282699603
44,-2.2485425228310034,-2.8683775154298625
45,-1.3806312947758324,-2.8353164883042172
46,-1.1705792038124958,-2.7991265473370057
47,-0.37263645668031753,-2.7474990985996293
48,0.32268898860381134,-2.683536846782891
49,-8.883275599021035,-2.8100621274408124
50,-6.186310508611629,-2.8775870950642286
51,-1.0084031417228219,-2.8409364293124364
52,-3.7783620283547044,-2.858963844678634
53,-0.738737536201478,-2.818959574707367
54,-0.29555459929226563,-2.772229852940421
55,-4.154288336314445,-2.7973581890017662
56,-1.3317469942014837,-2.77118656052319
57,-1.607345637978764,-2.750768298724165
58,-2.8615053112300006,-2.7526775575604727
59,-3.427638943561852,-2.7641175810520213
60,-5.323905554568463,-2.806780713943962
61,-0.2639032488467294,-2.7650941981226955
62,-4.726779295399417,-2.7967342803368362
63,-9.049376265281584,-2.89598256581215
64,-0.8639013572534817,-2.8642312969284207
65,-0.26367865830556964,-2.8242227947957614
66,-5.077227794760455,-2.858359234189166
67,-2.1971174833474314,-2.8484899543258564
68,-9.688221542189103,-2.9490742423826686
69,-0.4121422826811667,-2.9123071125319226
70,-9.705929627826011,-3.0093588627504095
71,-0.8345609856997982,-2.978727906735612
72,-0.175397856274756,-2.939792767145878
73,-0.3413625690469239,-2.904197832925344
74,-9.181484717186954,-2.989026034064015
75,-7.941617973494507,-3.0550605932564214
76,-8.454876341745235,-3.1261108004733793
77,-1.9932670062482551,-3.1113985434055205
78,-0.5829420119105123,-3.0789824340273797
79,-1.0008350739855383,-3.05267677124204
80,-2.023988097623619,-3.0398181628218097
81,-0.9078184287789469,-3.01349717845091
82,-7.583755136274634,-3.0692320315951016
83,-0.2598946244369279,-3.035384592954642
84,-3.6933027926631925,-3.0432169524749817
85,-11.049490018743363,-3.1374084003134333
86,-7.472563794644119,-3.1878171839684413
87,-7.371482670770509,-3.2359052930121432
88,-0.9293151104721253,-3.209694040937825
89,-11.10218563604786,-3.298373721781758
90,-2.7500767715335863,-3.2922815334456668
91,-9.214690806417513,-3.357362954027775
92,-5.060448983903675,-3.375874758700339
93,-3.0913607817854296,-3.3728154686259857
94,-1.1808175476462777,-3.3494963418070522
95,-4.952965042846273,-3.3663749597127284
96,-0.31008868141353035,-3.334538644313778
97,-7.5709017880795315,-3.378212491156724
98,-2.7592596562115697,-3.3718966459021815
99,-3.77199169598047,-3.3759380100443868
100,-0.9549313978310073,-3.3517279439222527
101,-7.831284625967593,-3.390500339896057
102,-0.37671015740795855,-3.355306752573429
103,-3.895844099068574,-3.3840316048419736
104,-9.203739198502845,-3.470466199002195
105,-6.328770036739472,-3.5300275348027865
106,-6.821299143143508,-3.594545981472572
107,-6.73396518674765,-3.651763761584134
108,-2.6853350484628535,-3.675235306183447
109,-7.934205935971205,-3.7208052070312387
110,-7.413290317700581,-3.739932807201527
111,-0.3935573787575406,-3.727350421977607
112,-3.317705091691852,-3.6977956094772804
113,-5.2959230077278745,-3.740861998619562
