scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,0,100,0.494,0.5181,0.0241,0.6078,0.5537,2,4,1,8,90,10,0,0,0
greedy,pennylane,0,100,0.494,0.8072,0.3133,0.7949,0.8807,2,16,14,3,83,17,0,0,0
fixed_k2,pennylane,0,100,0.494,0.7349,0.241,0.7027,0.8351,2,2,0,0,100,0,0,0,0
fixed_k4,pennylane,0,100,0.506,0.759,0.253,0.7561,0.8449,4,4,0,0,100,0,0,0,0
fixed_k8,pennylane,0,100,0.4819,0.7952,0.3133,0.7901,0.8661,8,8,0,0,100,0,0,0,0
fixed_k16,pennylane,0,100,0.5422,0.7952,0.253,0.7901,0.876,16,16,0,0,100,0,0,0,0
ppo,pennylane,0,100,0.494,0.7349,0.241,0.7027,0.8351,2,2,14,0,82,0,4,0,14
dqn,pennylane,0,100,0.494,0.5542,0.0602,0.6667,0.4922,2,2,8,1,84,0,6,2,8
