scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.5333,0.75,0.2167,0.7692,0.8278,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.5333,0.6667,0.1333,0.7222,0.7722,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.5333,0.6667,0.1333,0.6,0.8389,2,7,5,0,34,5,0,0,1
dqn,pennylane,123,40,0.5333,0.5333,0.0,0.6818,0.6611,2,4,6,0,34,2,0,0,4
