scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.6487,0.6733,0.0247,0.1581,0.8702,2,6,4,0,35,4,1,0,0
greedy,pennylane,123,40,0.6487,0.7827,0.134,0.201,0.8708,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.648,0.3373,-0.3107,0.0881,0.6535,2,7,6,0,34,5,0,0,1
dqn,pennylane,123,40,0.6487,0.9553,0.3067,0.4806,0.8661,2,6,5,0,34,4,1,0,1
