benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,6,6,3,20,0,0.048306857481560744,0.004309182358638186,0.22746196681972622,0.16892459055385897,0.00222361506199735,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,6,6,3,20,1,0.023241145321739598,0.0012090718335551033,0.12082671024185665,0.07499032976462854,1.530581023409668e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,21,0,0.05491675840859944,0.006100448007235685,0.2712978278805666,0.1767543039151662,0.0005423570320035112,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,21,1,0.03646324296165331,0.002214510431368851,0.16862306205926514,0.09216258244224246,8.195125832123213e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,22,0,0.041789636368458165,0.002500193403606347,0.187086759835727,0.12930595804504444,0.007371145209023548,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,22,1,0.033887633910521874,0.003209854314477022,0.19720069608872914,0.14082835853200174,2.868928087857668e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,23,0,0.027699660563828943,0.000925951124824722,0.11281616206390138,0.06636805060895783,0.0028941808800918,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,23,1,0.03296716700675096,0.0018592954105930333,0.16230101080802598,0.10076600412260871,2.5080431281602592e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,24,0,0.13005014029078465,0.0264808966277867,0.566948010176781,0.31965033154442507,8.380396064985996e-18,0.08333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,24,1,0.039346574280488204,0.00783299428750662,0.3069427456901986,0.2616480405851801,1.1375810176344702e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,25,0,0.1161362874363387,0.046616010521817595,0.7480674128001713,0.5188649293278178,8.849421557593626e-17,0.08333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,25,1,0.014380460934468708,0.00086048840998399,0.10754336206566516,0.0904291080388693,1.2804362016155213e-17,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,26,0,0.07214241339787543,0.010660979943867853,0.3714136252552921,0.2791984858661044,1.2582032936708211e-17,0.08333333333333333
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,26,1,0.035575303371613944,0.006120944917313583,0.28693068419558,0.25926216886501263,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,27,0,0.1020165699325349,0.023758658084925794,0.5424502399594062,0.3817134579859189,0.00359033633405155,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,27,1,0.045190938309812835,0.008064139214510815,0.3119389616876359,0.23103658182864,3.708604078980401e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,28,0,0.08154159285814334,0.010832724146184478,0.36373526538337425,0.22573886825840034,0.00024285191012121676,0.0
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,28,1,0.007065178690665071,0.00039005010408005785,0.07167037918056425,0.07119060118903307,7.912434134999409e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,29,0,0.14246551715747305,0.03360278745051175,0.6464470422749483,0.4450435388788075,0.0013215012966862338,0.0
