benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,1.110144528731196e-17,3.365621273643568e-34,1.1101445287311959e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,-2.8297676701871666e-17,5.1926169903788646e-33,4.5717191606472106e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,-3.0646781408923594e-17,5.176939814053398e-33,4.915049848600953e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,-7.645634643920752e-18,1.884293334502503e-33,3.215364026531881e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.0689300831630601,0.018121801447857248,0.08054525839830173,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.1898966146196944,0.03469639446873677,0.20261872787819776,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,1.7216934234911365e-17,3.310935380736631e-33,4.2141580280413864e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-3.0213100539929386e-17,2.4044658579779837e-33,3.917583849914289e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-6.360652745248292e-18,1.0000792471635804e-33,2.4864369822334236e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-1.03670829566272e-17,1.793363494334225e-33,2.8886656945761086e-17,1.0
