benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,0,0,4096,36,11,0.00976871683005802,0.0028180821199273675,0.00017125388278158878,-3.7663595731114365,0.07939396968087385,0.013232328280145643,0.07816968099885398,9.226520679302848e-20,0.5277777777777778,-0.01135967024830643
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,1,1,4096,36,11,-0.06214277328672121,0.0030933945842227355,7.780351094666086e-05,-4.109000804676674,0.05293892692704584,0.008823154487840974,0.04145580205230383,3.2250544003458655e-19,0.6111111111111112,0.004624314733101085
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,2,2,4096,36,11,-0.00012071158619966778,0.00020648578903120768,2.616946734847387e-07,-6.582205116869969,0.003113912096470714,0.0005189853494117857,0.001722541625932999,3.6078076609277614e-19,0.4722222222222222,-0.0016515261320382297
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,3,0,4096,36,11,0.0009765867153589541,0.0005236239703163193,1.4695266082352556e-06,-5.832822545892746,0.007351319228197893,0.0012252198713663155,0.0053929632247301275,5.421010862427522e-20,0.6666666666666666,-5.421010862427522e-20
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,4,1,4096,36,11,1.066764669014574e-05,2.049175461323393e-05,6.489144400312986e-09,-8.187812561553782,0.0004956093332983746,8.260155554972911e-05,0.00048319966824853227,5.975997425665063e-20,0.6944444444444444,2.1212881372799884e-19
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,5,2,4096,36,11,-0.016972192270127008,0.0055122895045169075,0.00012502863837665732,-3.902990498476643,0.06984546146606285,0.011640910244343808,0.04601301243650451,3.469446951953614e-18,0.6666666666666666,8.673617379884035e-18
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,6,0,4096,72,22,-0.10905557095383667,0.01430153973477215,0.0010341882358497463,-2.9854004067443762,0.273166422533491,0.0321929716276502,0.15414360387530182,1.8231894166048077e-18,0.16666666666666666,-0.008600208404874861
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,7,1,4096,72,22,0.11635468054659313,0.009974472425787367,0.000771750629863057,-3.1125230073969674,0.2365513657690912,0.027877845805710625,0.15091623827646372,3.620880149574818e-18,0.18055555555555555,-0.0038849918670696877
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,8,2,4096,72,22,-0.04875007707119133,0.008660487214269947,0.0006358852943105402,-3.1966212185352316,0.2143449452509568,0.025260794050001804,0.1558527698024893,5.509394325046779e-22,0.16666666666666666,0.04475723186284714
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,9,0,4096,72,22,0.0015580452192113627,0.0007566220019367037,1.5620690194249177e-06,-5.806299780898434,0.010606776679208263,0.0012500206193999154,0.004483041600938377,4.743384504624082e-19,0.3472222222222222,0.00034639992789345917
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,10,1,4096,72,22,0.0004651341385135758,0.00034077023622114253,4.301738474697214e-07,-6.366355996191313,0.005574403544586927,0.0006569497579079573,0.0028525460973584573,1.5347031529107842e-19,0.3472222222222222,-1.5750837364820014e-05
