benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,mean_param_grad_variance_across_seeds,median_param_grad_variance_across_seeds,min_param_grad_variance_across_seeds,max_param_grad_variance_across_seeds,mean_param_abs_grad,mean_param_near_zero_ratio,n_params,n_seeds,log10_mean_param_grad_variance_across_seeds,log10_median_param_grad_variance_across_seeds,n_runs,mean_objective_value,mean_spatial_grad_variance,mean_grad_norm,mean_normalized_grad_norm,mean_abs_grad,mean_near_zero_ratio,mean_n_entangling_gates,mean_actual_entangling_budget,mean_target_entangling_budget,mean_layer_grad_norm,max_layer_near_zero_ratio,mean_layer_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0.017126582300024604,4.2320480675036726e-33,1.6745683518279191e-34,0.17205608258076482,0.03867330153925818,0.6666666666666666,12,3,-1.7663292941465178,-30.0,3,0.13024243183514975,0.013913369354695206,0.3194955745962271,0.09223042799901295,0.03867330153925817,0.6666666666666666,4.0,4.0,3.0,0.3194955745962271,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,same_entangling_gate_count,0.014640433060369157,0.009765314284081542,1.7983497333657813e-35,0.0859089777163095,0.06785561717562152,0.3333333333333333,24,3,-1.834446076764853,-2.0103137749418276,3,0.13674979622769856,0.013473465781516222,0.5614605035109824,0.11460764536066918,0.06785561717562154,0.3333333333333333,8.0,8.0,6.0,0.3619078401077101,0.6666666666666666,0.3333333333333333
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0.01108727125666061,6.383531785102343e-06,3.0493890786131233e-34,0.07085429803542981,0.05855055316478952,0.5,12,3,-1.9551753270695595,-5.194938974822044,3,0.10860904945087158,0.0152346946279981,0.4376341701254103,0.12633410296424208,0.05855055316478952,0.5,4.0,4.0,3.0,0.4376341701254103,0.5,0.5
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,2,2,same_entangling_gate_count,0.008002577852309935,0.001067841571451092,1.4438689323444022e-34,0.05498846853033974,0.04740014114557815,0.25,24,3,-2.0967700921711283,-2.9714931759107936,3,-0.06987699961831391,0.006584203322611772,0.4044177058857094,0.08255141853057912,0.04740014114557815,0.25,8.0,8.0,6.0,0.2741517672063027,0.5,0.25
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,same_entangling_gate_count,0.0011341309617358501,0.0003845571053032287,4.4981789221456307e-35,0.005158234635463265,0.01975395044284624,0.3333333333333333,12,3,-2.9453367931721517,-3.415039159954628,3,0.009200518935476862,0.0012030186345908913,0.1199154205381729,0.03461660016385066,0.019753950442846245,0.3333333333333333,4.0,4.0,3.0,0.1199154205381729,0.3333333333333333,0.3333333333333333
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,same_entangling_gate_count,0.0035259038131251193,0.0023716174389006137,4.681492461385404e-35,0.011946694304565332,0.037954016536635445,0.16666666666666666,24,3,-2.452729539455522,-2.624955364875201,3,-0.04717208474639977,0.0028514796421381665,0.2629721848020156,0.05367897244248498,0.037954016536635445,0.16666666666666666,8.0,8.0,6.0,0.1832209197893692,0.3333333333333333,0.16666666666666666
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,same_entangling_gate_count,0.021444237558164148,4.2439375973950145e-33,1.7551776751281177e-36,0.1229450987379809,0.0626379253614814,0.6666666666666666,12,3,-1.6686893903280795,-30.0,3,-0.06992407161504817,0.016499837186495656,0.48825754412677663,0.14094781226773004,0.0626379253614814,0.6666666666666666,3.0,3.0,3.0,0.48825754412677663,0.6666666666666666,0.6666666666666666
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,same_entangling_gate_count,0.017632441713239046,0.002937310912913667,9.472948824704863e-35,0.12216047701399307,0.06793852995192828,0.375,24,3,-1.7536875431085124,-2.5320500811870414,3,0.20047570160881953,0.016446433888680893,0.6232665893206731,0.12722375979670372,0.06793852995192828,0.375,6.0,6.0,6.0,0.3979743066972814,0.6666666666666666,0.375
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0.017993271444481873,0.0051271377999275985,1.9096684712878892e-34,0.09777216674858674,0.08067279502157397,0.5,12,3,-1.7448898682764657,-2.290125010052495,3,0.034518909231556635,0.018964752898567073,0.4865433703319712,0.14045297291679568,0.08067279502157397,0.5,3.0,3.0,3.0,0.4865433703319712,0.5,0.5
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,2,2,same_entangling_gate_count,0.007737559875777951,0.0017249196541223007,1.53431484691293e-35,0.0846777453349345,0.0440333627804777,0.2916666666666667,24,3,-2.111395977245577,-2.763231129335045,3,-0.16412573265238417,0.0062435272587613696,0.386932664526241,0.07898229940873265,0.0440333627804777,0.2916666666666667,6.0,6.0,6.0,0.26703728371900454,0.5,0.2916666666666667
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0.002569265168780285,0.00010918389127708632,6.018747173453348e-35,0.023930221213069813,0.01811969760748181,0.3333333333333333,12,3,-2.5901910707453086,-3.9618414316452712,3,-0.052541864256436144,0.0021495598249598744,0.13447558806353455,0.038819758483957446,0.01811969760748181,0.3333333333333333,3.0,3.0,3.0,0.13447558806353455,0.3333333333333333,0.3333333333333333
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,same_entangling_gate_count,0.0023675446431103433,0.000879944747777106,4.624116055734956e-35,0.016558322857556956,0.032029012065891684,0.16666666666666666,24,3,-2.6257018230644227,-3.055544596587164,3,-0.04115105707379488,0.0021195263839756695,0.22390053784002054,0.04570350590356393,0.032029012065891684,0.16666666666666666,6.0,6.0,6.0,0.15206264259145663,0.3333333333333333,0.16666666666666666
