episode,return,return_ma100
199,-1.2343310857858878,-0.7221328456597768
200,-0.6665463480225766,-0.7218058540006999
201,-0.46327613906515874,-0.7063924243128096
202,0.05031603458433789,-0.7049516145842989
203,-0.2917705654236239,-0.7005096307053172
204,-1.6298168395716754,-0.7086488807970237
205,-0.5692798065066964,-0.6963898838721854
206,-0.42972634507765256,-0.6815032205447388
207,-1.4881860656678736,-0.6910948286152331
208,-0.10682732183910382,-0.6733235597372886
209,-1.9149967472159806,-0.6838313520727639
210,-0.17057920381249556,-0.6758274843357904
211,0.04713405406899843,-0.6506915625992956
212,-0.0749513808524078,-0.631548235472822
213,-0.42882027091642566,-0.6321737132254899
214,-1.0339734550038628,-0.6375361277033896
215,-0.09694691878207055,-0.635404710077075
216,-0.3274305402789615,-0.6352972095945488
217,-0.39371079071936643,-0.6304025880105595
218,-0.0749513808524078,-0.6220657739572306
219,-0.17057920381249556,-0.6227032927769645
220,-0.6169723715895714,-0.6265297056350013
221,-1.3128542587289729,-0.6364596234968743
222,-1.0749513808524078,-0.6458221046771403
223,0.056772324887043146,-0.6396834034086165
224,-0.2013648362783952,-0.6327271142342474
225,-0.7860227339253301,-0.6364659187466891
226,-0.1387032628257997,-0.636784678156556
227,-0.8242004222934455,-0.6377638369697509
228,-0.3236465064103198,-0.6383635154507984
229,-0.3413625690469239,-0.63218901170456
230,-1.5194599533012672,-0.6395233838983194
231,-0.7860227339253301,-0.6438662271022889
232,-0.12293859900569759,-0.6412528308408935
233,0.21017945202465202,-0.6357374106301777
234,-0.14577428782504742,-0.6348232492961775
235,0.05667999561501677,-0.6293427688781952
236,-3.233620034913606,-0.6442873630701039
237,-0.0683090941440156,-0.6424093481058613
238,-2.0439474033007254,-0.6535654042004508
239,0.2262337480771884,-0.64742244412954
240,-0.2024551447991914,-0.6397751761411198
241,-0.07093287753661748,-0.6334920497771834
242,-1.149589567222109,-0.6442384316408805
243,-0.5602797824806789,-0.645553026756523
244,-1.082023556107478,-0.6408025970777018
245,-1.1632585446268853,-0.625211560470492
246,-0.5756437675373751,-0.628012452152943
247,0.20750373601589597,-0.623262787871042
248,-0.6505721015100792,-0.6290189950776186
249,-1.635226562573276,-0.6399680065330756
250,-0.43223010101389464,-0.6319184033309637
251,-0.13951799739835924,-0.6319265506766893
252,-0.0683090941440156,-0.6244507233141193
253,-0.09694691878207055,-0.5863657143644287
254,-0.2690663622117736,-0.5866466334356093
255,-0.30851037093575295,-0.5863278740257425
256,-0.07467305517469446,-0.577255455531066
257,-0.5348239383579634,-0.5550061592257013
258,-0.07785503569003387,-0.5526838227684663
259,-0.09058295775139162,-0.5508771850855517
260,-0.10682732183910382,-0.5425723298322875
261,-1.4030924810533782,-0.5490417182683249
262,-0.730766994959097,-0.5490865428081764
263,-0.10682732183910382,-0.5487677833983093
264,-0.09058295775139162,-0.5416090410305652
265,-0.09694691878207055,-0.5415102369999949
266,-0.4678900758692322,-0.5181850661748607
267,-0.4320022514317651,-0.519344304302448
268,-0.09694691878207055,-0.5195642596817447
269,-0.3715875899111104,-0.5151212172768456
270,-0.3585009044455591,-0.5150756442692657
271,-1.2535262568525174,-0.5241972811473216
272,-0.4664581195804982,-0.5159194540123326
273,-0.10719751011511516,-0.5076939813192015
274,-0.014610983393385762,-0.4999431136378015
