scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,60,0.5333,0.7833,0.25,0.8,0.8133,2,6,4,0,50,4,6,0,0
greedy,pennylane,123,60,0.5333,0.7667,0.2333,0.7941,0.7956,2,7,7,0,53,6,0,1,0
