scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,pennylane,123,40,0.7191,0.8989,0.1798,0.8916,0.9424,2,6,4,0,34,4,2,0,0
greedy,pennylane,123,40,0.7191,0.8427,0.1236,0.8511,0.8955,2,8,6,0,34,6,0,0,0
ppo,pennylane,123,40,0.7191,0.7303,0.0112,0.7447,0.7808,2,7,6,0,34,5,0,0,1
dqn,pennylane,123,40,0.7191,0.6404,-0.0787,0.5152,0.552,2,2,2,1,37,1,0,2,0
